Parent mesh: 480 elements, 623 vertices
Cylinder submesh: NE=288 NV=399 ndofs=2717 bdr_attrs=6..9
Cylinder ess vdofs: 593
Block submesh: NE=192 NV=336 ndofs=2080 bdr_attrs=1..9
Block ess vdofs (walls 1-4): 416
Block initial BC dofs (nonzero): 416
step 1470, t = 0.029399999999998972  block: sum=1.149067e3 min=1.789085e-1 max=1.000000e0  cyl: sum=1.259097e2 min=-2.286706e-2 max=2.506890e-1
step 1480, t = 0.029599999999998964  block: sum=1.152569e3 min=1.816292e-1 max=1.000000e0  cyl: sum=1.277368e2 min=-2.296700e-2 max=2.532655e-1
step 1490, t = 0.029799999999998956  block: sum=1.156058e3 min=1.843495e-1 max=1.000000e0  cyl: sum=1.295697e2 min=-2.306771e-2 max=2.558360e-1
step 1500, t = 0.029999999999998948  block: sum=1.159534e3 min=1.870691e-1 max=1.000000e0  cyl: sum=1.314083e2 min=-2.316916e-2 max=2.584004e-1
step 1510, t = 0.03019999999999894  block: sum=1.162997e3 min=1.897878e-1 max=1.000000e0  cyl: sum=1.332524e2 min=-2.327131e-2 max=2.609588e-1
step 1520, t = 0.03039999999999893  block: sum=1.166447e3 min=1.925053e-1 max=1.000000e0  cyl: sum=1.351020e2 min=-2.337415e-2 max=2.635110e-1
step 1530, t = 0.030599999999998923  block: sum=1.169884e3 min=1.952215e-1 max=1.000000e0  cyl: sum=1.369569e2 min=-2.347765e-2 max=2.660572e-1
step 1540, t = 0.030799999999998915  block: sum=1.173309e3 min=1.979362e-1 max=1.000000e0  cyl: sum=1.388170e2 min=-2.358177e-2 max=2.685971e-1
step 1550, t = 0.030999999999998907  block: sum=1.176720e3 min=2.006490e-1 max=1.000000e0  cyl: sum=1.406823e2 min=-2.368648e-2 max=2.711309e-1
step 1560, t = 0.0311999999999989  block: sum=1.180119e3 min=2.033599e-1 max=1.000000e0  cyl: sum=1.425526e2 min=-2.379175e-2 max=2.736584e-1
step 1570, t = 0.03139999999999894  block: sum=1.183505e3 min=2.060686e-1 max=1.000000e0  cyl: sum=1.444279e2 min=-2.389756e-2 max=2.761796e-1
step 1580, t = 0.031599999999999004  block: sum=1.186878e3 min=2.087749e-1 max=1.000000e0  cyl: sum=1.463081e2 min=-2.400387e-2 max=2.786946e-1
step 1590, t = 0.031799999999999065  block: sum=1.190239e3 min=2.114787e-1 max=1.000000e0  cyl: sum=1.481930e2 min=-2.411065e-2 max=2.812033e-1
